"match_id" "RallyCount" "P1Dist" "P2Dist" "Point" "Speed" "Speed1" "Speed2" "FirstServe1" "SecondServe1" "DoubleFault1" "FirstServe2" "SecondServe2" "DoubleFault2" "Time" "matchnum" "Slam" "Gender" "player1" "player2" "split_time" "total_minutes" "played_minutes" "rally_min" "P1dist_min" "P2dist_min" "Dist" "Dist_min" "FirstServe" "SecondServe" "DoubleFault" "year" "surface" "PercFirstServe1" "PercSecondServe1" "PercDoubleFault1" "PercFirstServe2" "PercSecondServe2" "PercDoubleFault2" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"2020-ausopen-1101" "752" "NaN" "NaN" "160" "175.825" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1101" "ausopen" "M" "r. nadal" "h. dellien" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1102" "415" "NaN" "NaN" "211" "169.321428571429" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1102" "ausopen" "M" "f. delbonis" "j. sousa" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1103" "402" "NaN" "NaN" "234" "171.957081545064" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1103" "ausopen" "M" "c. eubanks" "p. gojowczyk" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1104" "427" "NaN" "NaN" "214" "166.939252336449" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1104" "ausopen" "M" "j. kovalik" "p. carreno busta" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1105" "624" "NaN" "NaN" "186" "187.198924731183" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1105" "ausopen" "M" "n. kyrgios" "l. sonego" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1106" "916" "NaN" "NaN" "159" "162.276729559748" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1106" "ausopen" "M" "p. cuevas" "g. simon" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1107" "355" "NaN" "NaN" "169" "171.431137724551" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1107" "ausopen" "M" "y. uchiyama" "m. ymer" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1108" "533" "NaN" "NaN" "242" "176" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1108" "ausopen" "M" "m. vilella martinez" "k. khachanov" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1109" "728" "NaN" "NaN" "156" "168.096774193548" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1109" "ausopen" "M" "g. monfils" "y. lu" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2020-ausopen-1110" "318" "NaN" "NaN" "193" "191.853403141361" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1110" "ausopen" "M" "i. karlovic" "v. pospisil" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2020" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
