"match_id" "RallyCount" "P1Dist" "P2Dist" "Point" "Speed" "Speed1" "Speed2" "FirstServe1" "SecondServe1" "DoubleFault1" "FirstServe2" "SecondServe2" "DoubleFault2" "Time" "matchnum" "Slam" "Gender" "player1" "player2" "split_time" "total_minutes" "played_minutes" "rally_min" "P1dist_min" "P2dist_min" "Dist" "Dist_min" "FirstServe" "SecondServe" "DoubleFault" "year" "surface" "PercFirstServe1" "PercSecondServe1" "PercDoubleFault1" "PercFirstServe2" "PercSecondServe2" "PercDoubleFault2" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"2019-ausopen-1116" "774" "NaN" "NaN" "232" "168.688311688312" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1116" "ausopen" "M" "k. majchrzak" "k. nishikori" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1117" "610" "NaN" "NaN" "161" "181.316770186335" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1117" "ausopen" "M" "a. zverev" "a. bedene" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1118" "717" "NaN" "NaN" "374" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1118" "ausopen" "M" "j. chardy" "u. humbert" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1119" "509" "NaN" "NaN" "213" "172.566666666667" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1119" "ausopen" "M" "a. bolt" "j. sock" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1120" "373" "NaN" "NaN" "186" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1120" "ausopen" "M" "b. fratangelo" "g. simon" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1121" "968" "NaN" "NaN" "309" "177.605863192182" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1121" "ausopen" "M" "h. chung" "b. klahn" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1122" "427" "NaN" "NaN" "254" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1122" "ausopen" "M" "s. querrey" "p. herbert" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1123" "247" "NaN" "NaN" "85" "177.105882352941" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1123" "ausopen" "M" "s. wawrinka" "e. gulbis" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1124" "377" "NaN" "NaN" "171" "195.858823529412" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1124" "ausopen" "M" "n. kyrgios" "m. raonic" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1125" "628" "NaN" "NaN" "163" "168.411042944785" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1125" "ausopen" "M" "b. coric" "s. darcis" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1126" "534" "NaN" "NaN" "264" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1126" "ausopen" "M" "a. ramos-vinolas" "m. fucsovics" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1127" "519" "NaN" "NaN" "271" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1127" "ausopen" "M" "l. djere" "e. donskoy" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1128" "521" "NaN" "NaN" "266" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1128" "ausopen" "M" "f. krajinovic" "m. cecchinato" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1129" "328" "NaN" "NaN" "175" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1129" "ausopen" "M" "l. pouille" "m. kukushkin" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1130" "533" "NaN" "NaN" "146" "171.541095890411" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1130" "ausopen" "M" "m. marterer" "g. sakharov" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1131" "443" "NaN" "NaN" "218" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1131" "ausopen" "M" "a. popyrin" "m. zverev" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1132" "1231" "NaN" "NaN" "332" "171.414634146341" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1132" "ausopen" "M" "b. paire" "d. thiem" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1133" "650" "NaN" "NaN" "197" "176.326530612245" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1133" "ausopen" "M" "m. cilic" "b. tomic" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1134" "457" "NaN" "NaN" "242" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1134" "ausopen" "M" "a. rublev" "m. mcdonald" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1135" "523" "NaN" "NaN" "248" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1135" "ausopen" "M" "m. mmoh" "r. albot" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1136" "392" "NaN" "NaN" "198" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1136" "ausopen" "M" "m. kecmanovic" "f. verdasco" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1137" "1430" "NaN" "NaN" "303" "164.076158940397" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1137" "ausopen" "M" "r. bautista agut" "a. murray" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1138" "930" "NaN" "NaN" "234" "170.244635193133" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1138" "ausopen" "M" "f. delbonis" "j. millman" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1139" "636" "NaN" "NaN" "301" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1139" "ausopen" "M" "y. nishioka" "t. sandgren" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1140" "725" "NaN" "NaN" "230" "169.624338624339" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1140" "ausopen" "M" "p. gojowczyk" "k. khachanov" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1141" "778" "NaN" "NaN" "261" "175.919230769231" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1141" "ausopen" "M" "s. tsitsipas" "m. berrettini" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1142" "480" "NaN" "NaN" "230" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1142" "ausopen" "M" "v. troicki" "r. carballes baena" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1143" "417" "NaN" "NaN" "227" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1143" "ausopen" "M" "s. travaglia" "g. andreozzi" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1144" "469" "NaN" "NaN" "272" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1144" "ausopen" "M" "c. eubanks" "n. basilashvili" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1145" "581" "NaN" "NaN" "145" "165.535714285714" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1145" "ausopen" "M" "g. monfils" "d. dzumhur" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1146" "419" "NaN" "NaN" "211" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1146" "ausopen" "M" "c. norrie" "t. fritz" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1147" "408" "NaN" "NaN" "199" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1147" "ausopen" "M" "t. ito" "d. evans" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1148" "681" "NaN" "NaN" "181" "174" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1148" "ausopen" "M" "d. istomin" "r. federer" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1149" "839" "NaN" "NaN" "222" "180.540540540541" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1149" "ausopen" "M" "k. anderson" "a. mannarino" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1150" "359" "NaN" "NaN" "180" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1150" "ausopen" "M" "f. tiafoe" "p. gunneswaran" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1151" "558" "NaN" "NaN" "161" "171.905660377358" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1151" "ausopen" "M" "f. lopez" "j. thompson" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1152" "401" "NaN" "NaN" "213" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1152" "ausopen" "M" "a. seppi" "s. johnson" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1153" "869" "NaN" "NaN" "233" "170.030042918455" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1153" "ausopen" "M" "g. dimitrov" "j. tipsarevic" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1154" "400" "NaN" "NaN" "183" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1154" "ausopen" "M" "p. cuevas" "d. lajovic" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1155" "554" "NaN" "NaN" "261" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1155" "ausopen" "M" "j. kubler" "t. fabbiano" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1156" "519" "NaN" "NaN" "289" "194.63986013986" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1156" "ausopen" "M" "r. opelka" "j. isner" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2019-ausopen-1157" "513" "NaN" "NaN" "154" "179.214285714286" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1157" "ausopen" "M" "k. edmund" "t. berdych" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2019" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
