"match_id" "RallyCount" "P1Dist" "P2Dist" "Point" "Speed" "Speed1" "Speed2" "FirstServe1" "SecondServe1" "DoubleFault1" "FirstServe2" "SecondServe2" "DoubleFault2" "Time" "matchnum" "Slam" "Gender" "player1" "player2" "split_time" "total_minutes" "played_minutes" "rally_min" "P1dist_min" "P2dist_min" "Dist" "Dist_min" "FirstServe" "SecondServe" "DoubleFault" "year" "surface" "PercFirstServe1" "PercSecondServe1" "PercDoubleFault1" "PercFirstServe2" "PercSecondServe2" "PercDoubleFault2" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"2018-ausopen-1101" "676" "NaN" "NaN" "127" "107.267716535433" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1101" "ausopen" "M" "r. nadal" "v. estrella burgos" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1102" "300" "NaN" "NaN" "189" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1102" "ausopen" "M" "n. jarry" "l. mayer" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1103" "1115" "NaN" "NaN" "187" "166.877005347594" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1103" "ausopen" "M" "j. millman" "b. coric" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1104" "580" "NaN" "NaN" "307" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1104" "ausopen" "M" "p. lorenzi" "d. dzumhur" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1105" "694" "NaN" "NaN" "372" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1105" "ausopen" "M" "d. schwartzman" "d. lajovic" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1106" "727" "NaN" "NaN" "420" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1106" "ausopen" "M" "c. ruud" "q. halys" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1107" "329" "NaN" "NaN" "200" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1107" "ausopen" "M" "a. dolgopolov" "a. haider-maurer" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1108" "554" "NaN" "NaN" "202" "179.242574257426" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1108" "ausopen" "M" "m. ebden" "j. isner" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1109" "1230" "NaN" "NaN" "275" "162.454545454545" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1109" "ausopen" "M" "p. carreno busta" "j. kubler" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1110" "328" "NaN" "NaN" "190" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1110" "ausopen" "M" "g. simon" "m. copil" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
"2018-ausopen-1111" "637" "NaN" "NaN" "338" "NaN" "NaN" "NaN" "0" "0" "0" "0" "0" "0" NA "1111" "ausopen" "M" "s. caruso" "m. jaziri" NA "NA" "NA" "NA" "NaN" "NaN" "NaN" "NaN" "0" "0" "0" "2018" "Hard" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN" "NaN"
