"Player" "n" "RallyCount" "Dist" "Point" "Speed" "FirstServe" "SecondServe" "DoubleFault" "played_minutes" "Gender" "rally_min" "rally_match" "Dist_min" "Dist_match" "Point_min" "Point_match" "played_minutes_match" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"sloane stephens" 7 2658.5 13209.8306265842 1114 142.316254306892 359 181 10 151.543333333333 "W" 17.542837032312 379.785714285714 87.168668763066 1887.1186609406 7.35103270791633 159.142857142857 21.6490476190476 65.2727272727273 32.9090909090909 1.81818181818182
"amandine hesse" 1 264 1540.89355238095 109 144.170212765957 34 15 0 15.45 "W" 17.0873786407767 264 99.7342105100939 1540.89355238095 7.05501618122977 109 15.45 69.3877551020408 30.6122448979592 0
"lauren davis" 1 374.5 1774.0234939759 175 135.432098765432 57 24 11 23.5166666666667 "W" 15.9248759744862 374.5 75.4368601265442 1774.0234939759 7.44153082919914 175 23.5166666666667 61.9565217391304 26.0869565217391 11.9565217391304
"maria sharapova" 4 1415 6875.94196281657 732 150.987573427589 210 127 22 108.423333333333 "W" 13.0506963445753 353.75 63.417548155224 1718.98549070414 6.75131429274142 183 27.1058333333333 58.4958217270195 35.3760445682451 6.12813370473538
"risa ozaki" 2 698 3791.89064069479 233 134.981818181818 84 33 1 34.4966666666667 "W" 20.2338390182626 349 109.92049398091 1895.94532034739 6.75427577543723 116.5 17.2483333333333 71.1864406779661 27.9661016949153 0.847457627118644
"denisa allertova" 2 527 2529.59488721661 334 157.599945533769 104 46 16 42.7833333333333 "W" 12.317880794702 263.5 59.1257083104779 1264.79744360831 7.80677834047527 167 21.3916666666667 62.6506024096386 27.710843373494 9.63855421686747
"sofia kenin" 3 1278.5 6075.97383544486 543 142.636607142857 165 75 20 75.8533333333334 "W" 16.854895412199 426.166666666667 80.1016061976383 2025.32461181495 7.15855159078924 181 25.2844444444445 63.4615384615385 28.8461538461538 7.69230769230769
"timea babos" 2 643 3459.48056102246 339 159.234638600836 112 52 5 48.43 "W" 13.2768944868883 321.5 71.4325946938356 1729.74028051123 6.99979351641545 169.5 24.215 66.2721893491124 30.7692307692308 2.9585798816568
"kaia kanepi" 4 1153 6030.90325865937 572 147.253830119367 200 75 8 71.7066666666667 "W" 16.079397545556 288.25 84.1051960579123 1507.72581466484 7.97694310152473 143 17.9266666666667 70.6713780918728 26.5017667844523 2.82685512367491
"magdalena rybarikova" 6 1653 9211.94987500866 752 150.46419238135 217 145 9 104.57 "W" 15.8075929999044 275.5 88.0936203022727 1535.32497916811 7.19135507315674 125.333333333333 17.4283333333333 58.4905660377358 39.0835579514825 2.42587601078167
"aleksandra krunic" 2 578.5 3122.77577791368 321 141.97544400145 90 66 6 41.9433333333333 "W" 13.7924183422078 289.25 74.4522556921326 1561.38788895684 7.65318286577129 160.5 20.9716666666666 55.5555555555556 40.7407407407407 3.7037037037037
"julia goerges" 4 858.5 4742.24376446751 479 152.177637485971 135 84 10 63.5933333333334 "W" 13.4998427508124 214.625 74.5713979106956 1185.56094111688 7.53223608344689 119.75 15.8983333333333 58.9519650655022 36.6812227074236 4.36681222707424
"madison keys" 9 2320.5 10837.61683291 1284 152.666357621237 396 197 20 158.266666666667 "W" 14.6619629317607 257.833333333333 68.4769387083616 1204.17964810111 8.11288963774221 142.666666666667 17.5851851851852 64.6003262642741 32.137030995106 3.2626427406199
"nick kyrgios" 4 1426 6819.38572112728 786 177.606500223033 264 126 19 93.4666666666666 "M" 15.2567760342368 356.5 72.9606175584232 1704.84643028182 8.40941512125536 196.5 23.3666666666667 64.5476772616137 30.8068459657702 4.64547677261614
"daniil medvedev" 1 415.5 2349.40611872146 220 179.257425742574 73 31 7 26.4966666666667 "M" 15.6812177632406 415.5 88.6679878747562 2349.40611872146 8.30293118631273 220 26.4966666666667 65.7657657657658 27.9279279279279 6.30630630630631
"marton fucsovics" 1 267 1574.28671957672 190 167.923076923077 55 39 5 23.1933333333333 "M" 11.511928715148 267 67.8766909849119 1574.28671957672 8.19200919804543 190 23.1933333333333 55.5555555555556 39.3939393939394 5.05050505050505
"kei nishikori" 9 3953.5 21964.9869367967 2101 162.887730282954 661 340 34 291.926666666667 "M" 13.5427847176231 439.277777777778 75.2414542583641 2440.55410408852 7.19701294845738 233.444444444444 32.4362962962963 63.8647342995169 32.8502415458937 3.28502415458937
"milos raonic" 10 3455 20106.303964403 2215 187.291230669889 725 314 42 292.703333333333 "M" 11.8037603489312 345.5 68.6917492036409 2010.6303964403 7.56738905148558 221.5 29.2703333333333 67.0675300647548 29.0471785383904 3.88529139685476
"evgeny donskoy" 1 274.5 1412.91135869565 185 170.566265060241 52 31 1 22.12 "M" 12.4095840867993 274.5 63.874835384071 1412.91135869565 8.36347197106691 185 22.12 61.9047619047619 36.9047619047619 1.19047619047619
"james ward" 1 254.5 1257.83241975309 164 176.62962962963 59 22 3 20.0566666666667 "M" 12.6890476981884 254.5 62.7139315150285 1257.83241975309 8.17683230845935 164 20.0566666666667 70.2380952380952 26.1904761904762 3.57142857142857
"martin klizan" 3 1157.5 6954.96152302812 648 166.689530277307 211 105 12 91.88 "M" 12.5979538528515 385.833333333333 75.6961419572063 2318.32050767604 7.05267740531127 216 30.6266666666667 64.3292682926829 32.0121951219512 3.65853658536585
"jiri vesely" 2 602 3064.82070182799 340 183.929998592936 127 46 8 41.8866666666666 "M" 14.3721152315773 301 73.1693626092948 1532.41035091399 8.11714149291741 170 20.9433333333333 70.1657458563536 25.414364640884 4.41988950276243
"aljaz bedene" 3 1182.5 6235.99095115478 819 168.89137020128 266 147 13 107.973333333333 "M" 10.9517782168437 394.166666666667 57.754917428576 2078.66365038493 7.58520622375895 273 35.9911111111111 62.4413145539906 34.5070422535211 3.05164319248826
"lukas rosol" 1 442 2147.28420679887 357 183.052941176471 117 55 9 43.5133333333333 "M" 10.1578060364639 442 49.3477295878399 2147.28420679887 8.2043817986824 357 43.5133333333333 64.6408839779006 30.3867403314917 4.97237569060773
"frances tiafoe" 3 1011 5377.97001405303 600 178.099208548904 179 107 12 73.5633333333333 "M" 13.7432597761566 337 73.1066656493683 1792.65667135101 8.15623725587929 200 24.5211111111111 60.0671140939597 35.9060402684564 4.02684563758389
"dudi sela" 3 940.5 4793.43739391939 593 159.766204960048 190 106 5 74.4266666666667 "M" 12.6365997850233 313.5 64.4048377900312 1597.8124646398 7.9675743461125 197.666666666667 24.8088888888889 63.1229235880399 35.2159468438538 1.66112956810631
"dusan lajovic" 3 985 5707.38559658934 521 169.288586028607 186 72 6 66.59 "M" 14.7920108124343 328.333333333333 85.7093497009962 1902.46186552978 7.82399759723682 173.666666666667 22.1966666666667 70.4545454545455 27.2727272727273 2.27272727272727
"adam pavlasek" 1 316.5 1779.76121527778 145 174.925 49 31 3 18.8233333333333 "M" 16.8142376483089 316.5 94.5507994657933 1779.76121527778 7.70320524172128 145 18.8233333333333 59.0361445783133 37.3493975903614 3.6144578313253
"sebastian ofner" 1 258 1384.8914601227 164 178.453488372093 54 33 5 18.5833333333333 "M" 13.8834080717489 258 74.5233072711768 1384.8914601227 8.82511210762333 164 18.5833333333333 58.695652173913 35.8695652173913 5.43478260869565
"david ferrer" 5 2599 14631.5641191654 1153 169.504842161285 343 216 21 154.98 "M" 16.769905794296 519.8 94.4093697197405 2926.31282383308 7.43966963479159 230.6 30.996 59.1379310344828 37.2413793103448 3.62068965517241
"ernests gulbis" 2 630 3136.8681132572 405 188.724692049272 122 69 11 61.3466666666667 "M" 10.2695066289937 315 51.133472830752 1568.4340566286 6.60182569006737 202.5 30.6733333333333 60.3960396039604 34.1584158415842 5.44554455445545
"marin cilic" 15 5354 29940.1235185188 3043 176.972642929817 843 543 65 411.783333333333 "M" 13.0019832436152 356.933333333333 72.70843935367 1996.00823456792 7.3898085562796 202.866666666667 27.4522222222222 58.0978635423846 37.4224672639559 4.47966919365955
"katie boulter" 1 325.5 1704.68189189189 187 153.164705882353 52 34 1 24.9533333333333 "W" 13.044349452311 325.5 68.3147966293839 1704.68189189189 7.49398877905424 187 24.9533333333333 59.7701149425287 39.0804597701149 1.14942528735632
"monica puig" 1 182.5 840.150743362832 114 152.838709677419 36 27 1 16.06 "W" 11.3636363636364 182.5 52.3132467847343 840.150743362832 7.09838107098381 114 16.06 56.25 42.1875 1.5625
"johanna larsson" 1 224 1312.1891984127 127 152.916666666667 29 34 5 16.8733333333333 "W" 13.275385223232 224 77.767040601306 1312.1891984127 7.52666930067169 127 16.8733333333333 42.6470588235294 50 7.35294117647059
"victoria azarenka" 4 1250 6421.46014496988 621 147.181047513628 180 81 19 83.6566666666666 "W" 14.9420249432203 312.5 76.7596941264281 1605.36503624247 7.42319799179185 155.25 20.9141666666667 64.2857142857143 28.9285714285714 6.78571428571429
"maryna zanevska" 1 232.5 1108.40805 141 153.492307692308 42 23 3 17.95 "W" 12.9526462395543 232.5 61.7497520891365 1108.40805 7.85515320334262 141 17.95 61.7647058823529 33.8235294117647 4.41176470588235
"beatriz haddad maia" 2 444 2051.62696515151 256 156.272869022869 90 37 10 31.38 "W" 14.1491395793499 222 65.3800817447901 1025.81348257576 8.15806246016571 128 15.69 65.6934306569343 27.007299270073 7.2992700729927
"kristina kucova" 1 147 745.208053333333 77 140.755555555556 26 19 1 9.66333333333333 "W" 15.2121421179717 147 77.1170803725422 745.208053333333 7.96826491893757 77 9.66333333333333 56.5217391304348 41.304347826087 2.17391304347826
"qiang wang" 3 963.5 4797.31624678731 561 152.911324135983 168 92 8 65.27 "W" 14.7617588478627 321.166666666667 73.499559472764 1599.10541559577 8.5950666462387 187 21.7566666666667 62.6865671641791 34.3283582089552 2.98507462686567
"camila giorgi" 2 429.5 2118.48825350748 329 163.271700051361 108 50 15 39.7766666666666 "W" 10.7977876476997 214.75 53.2595722829334 1059.24412675374 8.2711807592391 164.5 19.8883333333333 62.4277456647399 28.9017341040462 8.67052023121387
"francesca schiavone" 2 345 2019.7002880949 190 151.602583586626 48 33 8 29.0733333333333 "W" 11.8665443705572 172.5 69.469168359146 1009.85014404745 6.53519834900253 95 14.5366666666667 53.9325842696629 37.0786516853933 8.98876404494382
"madison brengle" 2 398 2126.53470858896 229 130.619574119574 86 22 3 28.0433333333333 "W" 14.1923214073458 199 75.8303117290726 1063.26735429448 8.16593367407584 114.5 14.0216666666667 77.4774774774775 19.8198198198198 2.7027027027027
"polona hercog" 2 660.5 3651.95906055318 293 161.141835124997 84 48 7 41.6033333333334 "W" 15.8761317202147 330.25 87.7804437277424 1825.97953027659 7.04270491146542 146.5 20.8016666666667 60.431654676259 34.5323741007194 5.03597122302158
"petra martic" 4 1392 8037.62659511619 633 149.068457879569 211 89 14 83.7400000000001 "W" 16.6228803439216 348 95.983121508433 2009.40664877905 7.55911153570575 158.25 20.935 67.1974522292994 28.343949044586 4.45859872611465
"anett kontaveit" 2 740 3864.37833504274 376 152.020580296896 128 53 11 49.79 "W" 14.8624221731271 370 77.6135435839072 1932.18916752137 7.55171721229163 188 24.895 66.6666666666667 27.6041666666667 5.72916666666667
"carina witthoeft" 2 877.5 4318.86360297212 318 150.876181292189 106 40 11 39.8433333333334 "W" 22.0237597255919 438.75 108.396141629016 2159.43180148606 7.9812599347444 159 19.9216666666667 67.515923566879 25.4777070063694 7.00636942675159
"ana konjuh" 3 813.5 3541.41279719298 481 157.029123279123 130 85 11 65.0033333333333 "W" 12.5147428337008 271.166666666667 54.4804799322032 1180.47093239766 7.3996205322804 160.333333333333 21.6677777777778 57.5221238938053 37.6106194690265 4.86725663716814
"garbine muguruza" 7 1921 9441.03608806862 834 149.872394308718 264 140 8 110.516666666667 "W" 17.3819936661137 274.428571428571 85.4263557961268 1348.71944115266 7.54637309606394 119.142857142857 15.7880952380952 64.0776699029126 33.9805825242718 1.94174757281553
"illya marchenko" 1 452 2468.63803809524 212 172.553191489362 53 41 6 33.4966666666667 "M" 13.4938799880585 452 73.6980208407375 2468.63803809524 6.32898795900089 212 33.4966666666667 53 41 6
"gerald melzer" 1 725.5 3974.26821086262 325 164.927152317881 103 50 5 44.4966666666667 "M" 16.3045921042775 725.5 89.3160883406087 3974.26821086262 7.30391789647164 325 44.4966666666667 65.1898734177215 31.6455696202532 3.16455696202532
"luca vanni" 1 95.5 554.1201 51 172.62962962963 15 12 2 6.78666666666667 "M" 14.0717092337917 95.5 81.6483447937131 554.1201 7.51473477406679 51 6.78666666666667 51.7241379310345 41.3793103448276 6.89655172413793
"sam groth" 1 271 1136.75719354839 207 179.439252336449 64 43 8 26.1366666666667 "M" 10.3685754368065 271 43.4928144451622 1136.75719354839 7.91990817497767 207 26.1366666666667 55.6521739130435 37.3913043478261 6.95652173913043
"thomaz bellucci" 2 610 3446.72216583913 343 168.878409090909 100 58 12 45.09 "M" 13.5284985584387 305 76.4409440194972 1723.36108291956 7.6070082058106 171.5 22.545 58.8235294117647 34.1176470588235 7.05882352941176
"guido pella" 2 1103 5685.62930408794 489 162.80065934066 150 90 8 68.9066666666666 "M" 16.0071594427245 551.5 82.5120351792949 2842.81465204397 7.09655572755419 244.5 34.4533333333333 60.4838709677419 36.2903225806452 3.2258064516129
"alex bolt" 1 436 2266.48482352941 234 164.080357142857 68 45 4 30.05 "M" 14.5091514143095 436 75.4237878046393 2266.48482352941 7.78702163061564 234 30.05 58.1196581196581 38.4615384615385 3.41880341880342
"jan lennard struff" 2 761 4017.93283392765 493 186.500793650794 130 104 15 62.1133333333333 "M" 12.2517977889879 380.5 64.6871230105343 2008.96641696382 7.93710421809596 246.5 31.0566666666667 52.2088353413655 41.7670682730924 6.02409638554217
"christopher o'connell" 1 399 2216.19301587302 192 166.772727272727 65 45 1 24.4233333333333 "M" 16.3368363586734 399 90.7408086204322 2216.19301587302 7.86133478913608 192 24.4233333333333 58.5585585585586 40.5405405405405 0.900900900900901
"novak djokovic" 12 5054.5 28135.2354034075 2291 172.155814935914 696 367 26 329.853333333333 "M" 15.3234771009337 421.208333333333 85.2961985228004 2344.60295028396 6.94551113626258 190.916666666667 27.4877777777778 63.9118457300276 33.7006427915519 2.38751147842057
"victor estrella burgos" 2 1126 7434.32997627437 453 168.79826007326 163 74 9 60.9166666666667 "M" 18.484268125855 563 122.040984562643 3717.16498813718 7.43638850889193 226.5 30.4583333333333 66.260162601626 30.0813008130081 3.65853658536585
"fabio fognini" 4 1704.5 9040.05990792532 918 170.349417973049 274 144 20 119.56 "M" 14.2564402810305 426.125 75.6110731676592 2260.01497698133 7.67815322850452 229.5 29.89 62.5570776255708 32.8767123287671 4.5662100456621
"andrew whittington" 1 243.5 1205.02936111111 185 171.758620689655 47 40 5 24.2266666666667 "M" 10.0509080902587 243.5 49.7397920106401 1205.02936111111 7.63621353880021 185 24.2266666666667 51.0869565217391 43.4782608695652 5.43478260869565
"lesia tsurenko" 2 717 3910.48503282829 292 147.153198653199 93 49 6 38.05 "W" 18.8436268068331 358.5 102.77227418734 1955.24251641415 7.67411300919842 146 19.025 62.8378378378378 33.1081081081081 4.05405405405405
"misaki doi" 2 498.5 2282.31145820023 242 139.997802197803 61 40 4 36.3733333333334 "W" 13.7050953079179 249.25 62.7468326118098 1141.15572910012 6.6532258064516 121 18.1866666666667 58.0952380952381 38.0952380952381 3.80952380952381
"roberta vinci" 2 545.5 2737.58820330159 258 141.024464342821 73 40 6 35.64 "W" 15.3058361391695 272.75 76.8122391498763 1368.7941016508 7.23905723905724 129 17.82 61.3445378151261 33.6134453781513 5.04201680672269
"shuai zhang" 4 1404 7084.86804027497 613 143.669428695604 189 101 12 83.2500000000001 "W" 16.8648648648648 351 85.1035200033029 1771.21701006874 7.36336336336335 153.25 20.8125 62.5827814569536 33.4437086092715 3.97350993377483
"annika beck" 1 353.5 1746.15810457516 157 128.926829268293 60 22 8 20.2033333333333 "W" 17.4971126876753 353.5 86.4292082779325 1746.15810457516 7.77099488533247 157 20.2033333333333 66.6666666666667 24.4444444444444 8.88888888888889
"destanee aiava" 1 280 1491.48767605634 146 154.206349206349 41 22 7 18.4166666666667 "W" 15.2036199095022 280 80.985756165955 1491.48767605634 7.92760180995474 146 18.4166666666667 58.5714285714286 31.4285714285714 10
"rebecca sramkova" 1 151.5 750.795414414414 113 141.720930232558 23 21 4 13.0166666666667 "W" 11.6389244558258 151.5 57.6795452815169 750.795414414414 8.6811779769526 113 13.0166666666667 47.9166666666667 43.75 8.33333333333333
"galina voskoboeva" 1 172 843.58743 119 148.096153846154 35 17 2 13.6066666666667 "W" 12.640862322391 172 61.998096276335 843.58743 8.74571288584025 119 13.6066666666667 64.8148148148148 31.4814814814815 3.7037037037037
"svetlana kuznetsova" 13 4772.5 25324.289203069 1924 140.794074021975 661 253 41 263.093333333333 "W" 18.1399503344821 367.115384615385 96.2559137558369 1948.02224638992 7.31299412122441 148 20.2379487179487 69.2146596858639 26.4921465968586 4.29319371727749
"sara sorribes tormo" 2 405 2112.73576675787 176 141.859523809523 55 19 12 24.5466666666666 "W" 16.499185225421 202.5 86.0701697484197 1056.36788337894 7.1700162954916 88 12.2733333333333 63.953488372093 22.093023255814 13.953488372093
"naomi broady" 1 294.5 1569.22958433735 167 152.714285714286 52 32 0 23.4266666666667 "W" 12.5711439954468 294.5 66.9847574418333 1569.22958433735 7.12862834376778 167 23.4266666666667 61.9047619047619 38.0952380952381 0
"ana bogdan" 3 817.5 4471.45965889081 448 142.952893211514 134 80 12 60.3099999999999 "W" 13.5549660089538 272.5 74.1412644485296 1490.4865529636 7.42828718288842 149.333333333333 20.1033333333333 59.2920353982301 35.3982300884956 5.30973451327434
"samantha stosur" 1 368 2027.31645901639 192 162.757281553398 71 33 3 27.1166666666667 "W" 13.5709895513214 368 74.7627458764494 2027.31645901639 7.08051628764597 192 27.1166666666667 66.3551401869159 30.8411214953271 2.80373831775701
"arina rodionova" 1 251.5 1456.37789473684 100 142.08 41 9 2 13.4066666666667 "W" 18.7593237195425 251.5 108.630872307571 1456.37789473684 7.45897563401291 100 13.4066666666667 78.8461538461538 17.3076923076923 3.84615384615385
"elizaveta kulichkova" 1 201.5 913.744805555555 111 152.615384615385 34 18 4 15.1633333333333 "W" 13.2886348648055 201.5 60.2601542463546 913.744805555555 7.32029017366456 111 15.1633333333333 60.7142857142857 32.1428571428571 7.14285714285714
"serena williams" 7 1295 6085.86083234168 819 157.774948907165 203 158 31 108.71 "W" 11.9124275595621 185 55.9825299635882 869.408690334525 7.53380553766902 117 15.53 51.7857142857143 40.3061224489796 7.90816326530612
"anna blinkova" 1 168.5 769.558795698925 94 144 19 25 3 11.9266666666667 "W" 14.1280044717719 168.5 64.5242142844262 769.558795698925 7.88149804359975 94 11.9266666666667 40.4255319148936 53.1914893617021 6.38297872340426
"yulia putintseva" 3 875 4537.62987750541 360 138.389396166053 114 59 8 55.5766666666667 "W" 15.7440172734361 291.666666666667 81.6463121964627 1512.5432925018 6.47753853535656 120 18.5255555555556 62.9834254143646 32.5966850828729 4.41988950276243
"timea bacsinszky" 8 2766 15176.8151663319 1246 139.600751403751 386 188 19 182.4 "W" 15.1644736842105 345.75 83.2062234996269 1897.10189579149 6.8311403508772 155.75 22.8 65.0927487352445 31.7032040472175 3.20404721753794
"mandy minella" 1 242.5 1125.676704 129 151.777777777778 51 21 4 16.1366666666667 "W" 15.0278868002479 242.5 69.7589364180953 1125.676704 7.99421607105968 129 16.1366666666667 67.1052631578947 27.6315789473684 5.26315789473684
"su wei hsieh" 3 868.5 4254.37703965836 454 137.828652828653 145 80 4 60.6866666666667 "W" 14.3112160826101 289.5 70.1039828571629 1418.12567988612 7.4810502032297 151.333333333333 20.2288888888889 63.3187772925764 34.9344978165939 1.74672489082969
"donna vekic" 3 906.5 4631.24347647046 483 154.564756158874 152 80 15 66.6433333333334 "W" 13.6022607912769 302.166666666667 69.4929746881977 1543.74782549015 7.24753663782323 161 22.2144444444445 61.5384615384615 32.3886639676113 6.07287449392713
"andrea petkovic" 2 845 4193.76894560863 351 137.385660731022 103 45 7 53.4333333333333 "W" 15.8140985651903 422.5 78.4860064680343 2096.88447280432 6.56893325015596 175.5 26.7166666666666 66.4516129032258 29.0322580645161 4.51612903225806
"jozef kovalik" 1 296 1821.94783536585 191 160.548780487805 42 49 2 23.5433333333333 "M" 12.5725612346029 296 77.3869956972612 1821.94783536585 8.11269998584172 191 23.5433333333333 45.1612903225806 52.6881720430108 2.1505376344086
"arthur de greef" 1 361 2617.62552258065 196 165.443037974684 55 41 3 26.1566666666667 "M" 13.8014527845036 361 100.074889355702 2617.62552258065 7.49330954504905 196 26.1566666666667 55.5555555555556 41.4141414141414 3.03030303030303
"renzo olivo" 1 602.5 4025.29024390244 327 162.032051282051 110 48 4 42.4733333333333 "M" 14.1853712133103 602.5 94.772176516303 4025.29024390244 7.69894835975515 327 42.4733333333333 67.9012345679012 29.6296296296296 2.46913580246914
"julien benneteau" 2 850.5 4783.15917095483 515 171.022060100747 155 83 14 67.85 "M" 12.5350036845984 425.25 70.4960821069245 2391.57958547742 7.59027266028003 257.5 33.925 61.5079365079365 32.9365079365079 5.55555555555556
"simone bolelli" 2 663.5 3940.05638295345 391 170.097587829046 162 62 2 51.5533333333333 "M" 12.8701668175352 331.75 76.4268016866698 1970.02819147673 7.58437863701022 195.5 25.7766666666666 71.6814159292035 27.4336283185841 0.884955752212389
"yaroslava shvedova" 1 190 1276.98484375 121 156.02380952381 40 13 0 15.39 "W" 12.3456790123457 190 82.974973602989 1276.98484375 7.86224821312541 121 15.39 75.4716981132076 24.5283018867925 0
"magda linette" 2 439 2582.00142030816 254 142.974837662338 91 31 3 33.43 "W" 13.1319174394257 219.5 77.2360580409261 1291.00071015408 7.59796589889321 127 16.715 72.8 24.8 2.4
"geoffrey blancaneaux" 1 275.5 1599.66132352941 142 163.140625 43 21 8 20.12 "M" 13.6928429423459 275.5 79.5060299964915 1599.66132352941 7.05765407554672 142 20.12 59.7222222222222 29.1666666666667 11.1111111111111
"jc aragone" 1 275 1287.89282278481 162 167.686746987952 56 29 2 20.7566666666667 "M" 13.2487554199454 275 62.0471891497418 1287.89282278481 7.80472137465873 162 20.7566666666667 64.367816091954 33.3333333333333 2.29885057471264
"marius copil" 1 316 1789.50297814208 185 184.868686868687 56 43 5 22.29 "M" 14.1767608793181 316 80.2827715631261 1789.50297814208 8.29968595782862 185 22.29 53.8461538461538 41.3461538461538 4.80769230769231
"ruben bemelmans" 2 567.5 2786.65278020251 376 173.503415744958 138 56 5 44.5433333333333 "M" 12.7404026042057 283.75 62.5604904632757 1393.32639010126 8.4412182893063 188 22.2716666666667 69.3467336683417 28.1407035175879 2.51256281407035
"janko tipsarevic" 1 640.5 3519.15594797688 354 171.171232876712 94 54 8 50.13 "M" 12.7767803710353 640.5 70.2005974062813 3519.15594797688 7.06163973668462 354 50.13 60.2564102564103 34.6153846153846 5.12820512820513
"taro daniel" 1 590 3650.79483783784 226 167.754385964912 78 36 5 34.7433333333333 "M" 16.981675141514 590 105.079003295726 3650.79483783784 6.50484505420705 226 34.7433333333333 65.546218487395 30.2521008403361 4.20168067226891
"mikhail youzhny" 2 968.5 5438.17312611465 567 169.515374331551 197 107 8 69.68 "M" 13.8992537313433 484.25 78.0449644964789 2719.08656305733 8.13719862227325 283.5 34.84 63.1410256410256 34.2948717948718 2.56410256410256
"santiago giraldo" 1 232.5 1258.9336097561 126 149.206896551724 31 27 2 17.2366666666667 "M" 13.4886869077548 232.5 73.0381131167722 1258.9336097561 7.30999806613806 126 17.2366666666667 51.6666666666667 45 3.33333333333333
"bjorn fratangelo" 1 442.5 2289.62424528302 215 159.927835051546 58 40 3 27.47 "M" 16.1084819803422 442.5 83.3499907274489 2289.62424528302 7.82672005824536 215 27.47 57.4257425742574 39.6039603960396 2.97029702970297
"jared donaldson" 2 879.5 4729.01383039092 503 172.649285714286 124 110 15 66.1433333333333 "M" 13.2968805120194 439.75 71.4964546246675 2364.50691519546 7.6046968704329 251.5 33.0716666666667 49.7991967871486 44.1767068273092 6.02409638554217
"radu albot" 2 785.5 4518.82271474688 447 166.929653498493 164 56 6 56.0466666666667 "M" 14.0151064589033 392.75 80.6260743680304 2259.41135737344 7.97549660996788 223.5 28.0233333333333 72.5663716814159 24.7787610619469 2.65486725663717
"mikhail kukushkin" 1 391 1998.64355555556 226 159.289719626168 69 42 2 28.2133333333333 "M" 13.8586956521739 391 70.8403906742283 1998.64355555556 8.01039697542534 226 28.2133333333333 61.0619469026549 37.1681415929204 1.76991150442478
"brienne minor" 1 185.5 1045.63420338983 124 149.86 32 19 8 12.6633333333333 "W" 14.6485917346671 185.5 82.5717981092261 1045.63420338983 9.79205053961571 124 12.6633333333333 54.2372881355932 32.2033898305085 13.5593220338983
"catherine bellis" 2 805 4127.07314062391 343 142.395001937234 109 67 7 44.42 "W" 18.1224673570464 402.5 92.9102462995027 2063.53657031196 7.72174696082846 171.5 22.21 59.5628415300546 36.6120218579235 3.82513661202186
"katerina siniakova" 1 505 2521.57760555556 187 140.72619047619 54 30 8 27.2366666666667 "W" 18.5411822298372 505 92.5802572104598 2521.57760555556 6.86574470689021 187 27.2366666666667 58.695652173913 32.6086956521739 8.69565217391304
"mihaela buzarnescu" 1 324.5 1557.07099099099 115 137.851851851852 38 18 2 16.0766666666667 "W" 20.1845324486833 324.5 96.8528503622841 1557.07099099099 7.1532241343562 115 16.0766666666667 65.5172413793103 31.0344827586207 3.44827586206897
"misa eguchi" 1 187.5 896.481470588235 95 127.973684210526 30 9 3 11.45 "W" 16.3755458515284 187.5 78.2953249422039 896.481470588235 8.29694323144105 95 11.45 71.4285714285714 21.4285714285714 7.14285714285714
"sachia vickery" 1 656.5 3393.36501333333 232 130 63 42 8 31.75 "W" 20.6771653543307 656.5 106.877638215223 3393.36501333333 7.30708661417323 232 31.75 55.7522123893805 37.1681415929204 7.07964601769912
"monica niculescu" 1 587.5 3124.67377669903 209 127.101123595506 78 11 6 29.21 "W" 20.1129750085587 587.5 106.972741413866 3124.67377669903 7.15508387538514 209 29.21 82.1052631578947 11.5789473684211 6.31578947368421
"alexander bublik" 1 296.5 1722.75786982249 170 188.915662650602 58 27 11 23.6566666666667 "M" 12.5334648443004 296.5 72.8233564811535 1722.75786982249 7.18613498661405 170 23.6566666666667 60.4166666666667 28.125 11.4583333333333
"cameron norrie" 1 243 1302.89535947712 154 168.5 57 28 3 16.59 "M" 14.6473779385172 243 78.5349824880723 1302.89535947712 9.28270042194093 154 16.59 64.7727272727273 31.8181818181818 3.40909090909091
"marco cecchinato" 1 200.5 891.7181 124 161.864406779661 46 14 4 14.3533333333333 "M" 13.9688806316768 200.5 62.1262029725965 891.7181 8.63910822108688 124 14.3533333333333 71.875 21.875 6.25
"nicolas kicker" 1 347.5 1810.04639247312 187 168.174418604651 59 28 0 23.4 "M" 14.8504273504274 347.5 77.3524099347487 1810.04639247312 7.99145299145299 187 23.4 67.816091954023 32.183908045977 0
"vasek pospisil" 1 275.5 1769.56475 178 177.058252427184 59 44 3 23.0433333333333 "M" 11.955735570664 275.5 76.7929155214814 1769.56475 7.72457688413136 178 23.0433333333333 55.6603773584906 41.5094339622642 2.83018867924528
"daniel brands" 1 288 1586.72079651163 173 183.56976744186 71 15 2 18.9833333333333 "M" 15.171202809482 288 83.5849409927111 1586.72079651163 9.1132572431958 173 18.9833333333333 80.6818181818182 17.0454545454545 2.27272727272727
"alexander ward" 1 292.5 1449.88335 201 169.546391752577 69 28 6 24.6166666666667 "M" 11.8821936357481 292.5 58.898443466486 1449.88335 8.16519972918076 201 24.6166666666667 66.9902912621359 27.1844660194175 5.8252427184466
"sergiy stakhovsky" 1 482 2816.57038214286 281 173.157894736842 76 58 4 39.12 "M" 12.321063394683 482 71.9982204024248 2816.57038214286 7.18302658486708 281 39.12 55.0724637681159 42.0289855072464 2.89855072463768
