"Player" "n" "RallyCount" "Dist" "Point" "Speed" "FirstServe" "SecondServe" "DoubleFault" "played_minutes" "Gender" "rally_min" "rally_match" "Dist_min" "Dist_match" "Point_min" "Point_match" "played_minutes_match" "PercFirstServe" "PercSecondServe" "PercDoubleFault"
"lucas pouille" 8 3402 19625.3107672113 2033 175.890953635842 563 397 49 264.413333333333 "M" 12.8662195552418 425.25 74.2220920549064 2453.16384590142 7.68871968130705 254.125 33.0516666666667 55.7978196233895 39.3458870168484 4.85629335976214
"marcel granollers" 1 443 2728.04209302326 190 180.846153846154 61 41 1 29.4033333333333 "M" 15.06631901145 443 92.7800281041808 2728.04209302326 6.46185239768734 190 29.4033333333333 59.2233009708738 39.8058252427184 0.970873786407767
"thiago monteiro" 2 717 4475.13526675913 346 169.838935574229 103 62 10 46.83 "M" 15.3106982703395 358.5 95.5612911970773 2237.56763337956 7.38842622250694 173 23.415 58.8571428571429 35.4285714285714 5.71428571428571
"robin haase" 3 1175 6721.33917161754 622 178.069879187976 208 89 16 79.6133333333334 "M" 14.7588343661028 391.666666666667 84.4247928104698 2240.44639053918 7.81276168146039 207.333333333333 26.5377777777778 66.4536741214058 28.4345047923323 5.11182108626198
"joao sousa" 2 1010 5414.70054602962 451 166.535714285715 124 83 7 65.59 "M" 15.3986888245159 505 82.5537512735115 2707.35027301481 6.87604817807593 225.5 32.795 57.9439252336449 38.785046728972 3.27102803738318
"feliciano lopez" 4 1405 7957.12322414756 818 178.881946054767 235 152 10 104.103333333333 "M" 13.4962056930614 351.25 76.4348553438656 1989.28080603689 7.8575774070635 204.5 26.0258333333333 59.1939546599496 38.2871536523929 2.51889168765743
"nikoloz basilashvili" 2 495 2950.08594587642 329 171.319302721088 125 52 5 40.45 "M" 12.2373300370828 247.5 72.9316673887866 1475.04297293821 8.13349814585908 164.5 20.225 68.6813186813187 28.5714285714286 2.74725274725275
"diego schwartzman" 5 2519 13659.2978507725 1141 156.335664521474 368 195 22 157.366666666667 "M" 16.0072018640119 503.8 86.7991814283359 2731.85957015449 7.25058250370684 228.2 31.4733333333333 62.9059829059829 33.3333333333333 3.76068376068376
"kevin anderson" 10 3378 17745.0884927334 2140 187.456230535999 654 333 24 298.413333333333 "M" 11.3198695321925 337.8 59.4647976835265 1774.50884927334 7.17126133774184 214 29.8413333333333 64.6884272997033 32.9376854599407 2.37388724035608
"albert ramos vinolas" 4 2016.5 11428.2262213167 1040 164.000498711146 340 181 17 144.573333333333 "M" 13.9479387623351 504.125 79.0479541269717 2857.05655532918 7.19358111223831 260 36.1433333333334 63.1970260223048 33.6431226765799 3.15985130111524
"julia boserup" 2 429 1845.70812472309 232 156.773779983458 83 29 7 30.1333333333334 "W" 14.2367256637168 214.5 61.2513758204563 922.854062361544 7.69911504424777 116 15.0666666666667 69.7478991596639 24.3697478991597 5.88235294117647
"christina mchale" 4 1515 7810.10569538747 703 147.84453073649 215 136 21 100.216666666667 "W" 15.1172459670713 378.75 77.9322038455427 1952.52642384687 7.01480126392815 175.75 25.0541666666667 57.7956989247312 36.5591397849462 5.64516129032258
"lara arruabarrena" 2 470 2818.57601398602 260 144.078659370725 65 48 6 35.3366666666667 "W" 13.3006320158475 235 79.7634944057924 1409.28800699301 7.35779643429864 130 17.6683333333334 54.6218487394958 40.3361344537815 5.04201680672269
"jana cepelova" 3 976.5 5003.89412435298 438 135.633745543672 131 62 9 58.2699999999999 "W" 16.7581946112923 325.5 85.8742770611462 1667.96470811766 7.51673245237688 146 19.4233333333333 64.8514851485149 30.6930693069307 4.45544554455445
"nao hibino" 4 1156.5 5813.007310308 546 141.379486719589 177 91 12 70.6633333333334 "W" 16.3663380348129 289.125 82.2634177599131 1453.251827577 7.72677956507382 136.5 17.6658333333333 63.2142857142857 32.5 4.28571428571429
"saisai zheng" 4 982 5031.29918720015 503 143.304971960406 169 70 11 68.96 "W" 14.2401392111369 245.5 72.9596749884013 1257.82479680004 7.29408352668213 125.75 17.24 67.6 28 4.4
"ons jabeur" 4 840 4268.83178597164 509 140.926988636364 133 113 14 61.4866666666666 "W" 13.6614984278434 210 69.4269508723568 1067.20794649291 8.27821749972895 127.25 15.3716666666667 51.1538461538461 43.4615384615385 5.38461538461539
"tatjana maria" 2 580.5 3432.31481910569 262 144.703301127214 83 50 4 33.2966666666666 "W" 17.4341775953549 290.25 103.082835692433 1716.15740955284 7.8686555210732 131 16.6483333333333 60.5839416058394 36.4963503649635 2.91970802919708
"alison van uytvanck" 2 865.5 3985.63920484663 396 149.813392857143 118 78 9 57 "W" 15.1842105263158 432.75 69.9234948218707 1992.81960242331 6.94736842105263 198 28.5 57.5609756097561 38.0487804878049 4.39024390243902
"daria kasatkina" 4 1188.5 6745.29488665594 506 138.355684139928 172 64 15 64.88 "W" 18.3184340320592 297.125 103.965704171639 1686.32372166398 7.79901356350185 126.5 16.22 68.5258964143426 25.4980079681275 5.97609561752988
"carla suarez navarro" 2 608 3234.46429045489 247 143.95294117647 83 30 3 29.8466666666667 "W" 20.3707840071476 304 108.369364210014 1617.23214522745 8.27563100290372 123.5 14.9233333333333 71.551724137931 25.8620689655172 2.58620689655172
