"Player" "n" "RallyCount" "PDist" "Point" "Speed" "PrimerServei" "SegonServei" "DobleFalta" "Time" "Genere" "rally_min" "rally_partit" "Dist_min" "Dist_partit" "PercentatgePrimerServei" "PercentatgeSegonServei" "PercentatgeDobleFalta"
"bojana jovanovski" 1 258.5 1568.59768421053 108 134.666666666667 40 7 2 12.56 2 20.5812101910828 258.5 124.888350653705 1568.59768421053 81.6326530612245 14.2857142857143 4.08163265306122
"timea babos" 9 2728.5 26049.8174496652 1346 155.905392688235 388 231 28 187.11 2 14.5823312489979 303.166666666667 139.221941369597 2894.42416107391 59.9690880989181 35.7032457496136 4.32766615146832
"venus williams" 41 11259.5 78546.914615171 6222 154.849956548618 1882 1008 189 838.07 2 13.4350352595845 274.621951219512 93.7235727506903 1915.77840524807 61.1237414745047 32.7379019162066 6.13835660928873
"eugenie bouchard" 10 2794 19887.2429737998 1503 153.394053608408 462 278 27 199.466666666667 2 14.0073529411765 279.4 99.7020871012692 1988.72429737998 60.2346805736636 36.245110821382 3.52020860495437
"su wei hsieh" 12 3189 24191.8710542853 1655 137.634585276798 547 255 25 215.063333333333 2 14.8281901455385 265.75 112.487194722261 2015.98925452377 66.142684401451 30.8343409915357 3.0229746070133
"myrtille georges" 1 173 955.986652173913 81 147.823529411765 27 11 2 10.67 2 16.2136832239925 173 89.5957499694389 955.986652173913 67.5 27.5 5
"simona halep" 38 13217.5 107753.267431736 5638 143.189901851593 1872 842 86 731.56 2 18.0675542675925 347.828947368421 147.292453704052 2835.61230083517 66.8571428571429 30.0714285714286 3.07142857142857
"caroline garcia" 23 5072.5 38576.3494170194 3238 154.134356025045 1001 528 67 440.06 2 11.526837249466 220.54347826087 87.661567552196 1677.23258334867 62.719298245614 33.0827067669173 4.19799498746867
"pauline parmentier" 9 2435.5 19606.1549979903 1407 155.300482820691 413 257 46 189.186666666667 2 12.8735287899077 270.611111111111 103.633915346344 2178.46166644337 57.6815642458101 35.8938547486034 6.42458100558659
"yanina wickmayer" 8 1453 7626.96023131488 985 155.325504696876 312 144 27 124.97 2 11.6267904297031 181.625 61.0303291295101 953.37002891436 64.5962732919255 29.8136645962733 5.59006211180124
"samantha stosur" 10 2477 22096.6558738009 1427 158.090309458412 476 248 40 193.26 2 12.8169305598675 247.7 114.336416608719 2209.66558738009 62.303664921466 32.4607329842932 5.23560209424084
