"RallyCount" "P1Dist" "P2Dist" "Point" "Speed" "Speed1" "Speed2" "PrimerServei1" "SegonServei1" "DobleFalta1" "PrimerServei2" "SegonServei2" "DobleFalta2" "matchnum" "Slam" "Genere" "player1" "player2" "minuts_totals" "rally_min" "P1dist_min" "P2dist_min" "Year" "surface" "PercentatgePrimerServei1" "PercentatgeSegonServei1" "PercentatgeDobleFalta1" "PercentatgePrimerServei2" "PercentatgeSegonServei2" "PercentatgeDobleFalta2"
651 1909.35845890411 2011.93781506849 149 172.544776119403 174.983333333333 170.567567567568 48 14 2 55 26 3 1101 "frenchopen" 1 "novak djokovic" "yen hsun lu" 17.8933333333333 36.3822652757079 106.707812531899 112.440637950922 2016 "Clay" 75 21.875 3.125 65.4761904761905 30.952380952381 3.57142857142857
484 1517.64226086957 1352.83369565217 141 165.758333333333 169.71186440678 161.934426229508 35 27 5 37 35 1 1109 "frenchopen" 1 "david ferrer" "evgeny donskoy" 17.1933333333333 28.1504459092672 88.2692280459227 78.6836193671291 2016 "Clay" 52.2388059701493 40.2985074626866 7.46268656716418 50.6849315068493 47.945205479452 1.36986301369863
243 1002.50379310345 1007.95485 126 177.542168674699 169.710526315789 184.155555555556 35 10 1 49 22 8 1117 "frenchopen" 1 "rafael nadal" "sam groth" 16.0833333333333 15.1088082901554 62.3318420582455 62.6707678756477 2016 "Clay" 76.0869565217391 21.7391304347826 2.17391304347826 62.0253164556962 27.8481012658228 10.126582278481
735 2224.90862295082 2054.28157377049 186 177.898203592814 180.222222222222 175.709302325581 61 25 4 60 32 3 1132 "frenchopen" 1 "jan lennard struff" "jo wilfried tsonga" 24.3266666666667 30.2137571937517 91.4596583838375 84.4456662278909 2016 "Clay" 67.7777777777778 27.7777777777778 4.44444444444444 63.1578947368421 33.6842105263158 3.15789473684211
1268 3743.42389 3495.97676 214 161.842105263158 154 170.373626373626 53 54 6 60 37 3 1141 "frenchopen" 1 "gilles simon" "rogerio dutra silva" 31.7966666666667 39.8783939616312 117.730073068456 109.947901037845 2016 "Clay" 46.9026548672566 47.787610619469 5.30973451327434 60 37 3
1024 3346.05612014134 3391.92120141343 314 171.814655172414 172.172932330827 171.333333333333 107 64 1 89 48 4 1148 "frenchopen" 1 "lukas rosol" "stan wawrinka" 38.1133333333333 26.8672380619206 87.7922718245936 88.9956585992678 2016 "Clay" 62.2093023255814 37.2093023255814 0.581395348837209 63.1205673758865 34.0425531914894 2.83687943262411
634 1898.01607453416 1840.02933540373 177 160.354838709677 156.88 163.6125 43 40 3 57 31 2 1149 "frenchopen" 1 "kei nishikori" "simone bolelli" 28.7733333333333 22.0342910101946 65.9644140825125 63.9491196270989 2016 "Clay" 50 46.5116279069767 3.48837209302326 63.3333333333333 34.4444444444444 2.22222222222222
1004 2716.17832317073 2826.16223780488 177 165.518518518519 165.961538461538 165.107142857143 54 30 4 57 31 0 1156 "frenchopen" 1 "thomaz bellucci" "richard gasquet" 25.5166666666667 39.3468321358589 106.447223638304 110.757501154992 2016 "Clay" 61.3636363636364 34.0909090909091 4.54545454545455 64.7727272727273 35.2272727272727 0
1115 3447.27511578947 3079.46576842105 288 156.988593155894 155.192307692308 158.744360902256 81 51 7 66 73 9 1160 "frenchopen" 1 "radu albot" "benoit paire" 35.2833333333333 31.6013226263581 97.7026485344206 87.2781984436765 2016 "Clay" 58.273381294964 36.6906474820144 5.03597122302158 44.5945945945946 49.3243243243243 6.08108108108108
1453 3965.44074418605 4002.27013953488 288 176.380073800738 178.624113475177 173.946153846154 94 47 9 89 47 1 1164 "frenchopen" 1 "radek stepanek" "andy murray" 48.57 29.9155857525221 81.6438283752532 82.402102934628 2016 "Clay" 62.6666666666667 31.3333333333333 6 64.963503649635 34.3065693430657 0.72992700729927
850 2345.60475 2501.9696875 204 163.516666666667 167.553191489362 159.104651162791 71 29 4 53 41 5 1201 "frenchopen" 1 "novak djokovic" "steve darcis" 27.4433333333333 30.9729138831532 85.4708399125471 91.1685784343496 2016 "Clay" 68.2692307692308 27.8846153846154 3.84615384615385 53.5353535353535 41.4141414141414 5.05050505050505
575 1713.95156842105 1680.64518947368 191 169.310975609756 165.977011494253 173.077922077922 53 40 3 49 44 1 1208 "frenchopen" 1 "malek jaziri" "tomas berdych" 26.84 21.4232488822653 63.8581061259707 62.6171829163072 2016 "Clay" 55.2083333333333 41.6666666666667 3.125 52.1276595744681 46.8085106382979 1.06382978723404
694 1827.7914893617 2020.23206896552 150 170.035460992908 165.530303030303 174 51 18 3 55 20 2 1209 "frenchopen" 1 "rafael nadal" "facundo bagnis" 20.8166666666667 33.3386709367494 87.8042348772635 97.0487783330112 2016 "Clay" 70.8333333333333 25 4.16666666666667 71.4285714285714 25.974025974026 2.5974025974026
1053 3016.72368115942 3406.02248727273 296 159.541044776119 160.227941176471 158.833333333333 88 57 3 88 54 5 1216 "frenchopen" 1 "marcos baghdatis" "jo wilfried tsonga" 41.3633333333333 25.4573293577242 72.9323156054336 82.3440040439857 2016 "Clay" 59.4594594594595 38.5135135135135 2.02702702702703 59.8639455782313 36.734693877551 3.40136054421769
511 1602.97412765957 1547.44365957447 156 180.313868613139 186.48 172.854838709677 54 28 1 45 24 3 1217 "frenchopen" 1 "milos raonic" "adrian mannarino" 19.3366666666667 26.4264781934149 82.8981620923759 80.0263916346044 2016 "Clay" 65.0602409638554 33.7349397590361 1.20481927710843 62.5 33.3333333333333 4.16666666666667
886 2624.80852941176 2399.44426470588 215 163.621890547264 160.884955752212 167.136363636364 79 40 2 56 36 1 1224 "frenchopen" 1 "taro daniel" "stan wawrinka" 25.4966666666667 34.7496404758792 102.947124960587 94.1081552375166 2016 "Clay" 65.2892561983471 33.0578512396694 1.65289256198347 60.2150537634409 38.7096774193548 1.0752688172043
792 2604.69365269461 2458.8172754491 185 161.612121212121 162.752941176471 160.4 56 41 2 48 36 1 1228 "frenchopen" 1 "bjorn fratangelo" "richard gasquet" 26.05 30.4030710172745 99.9882400266645 94.3883790959348 2016 "Clay" 56.5656565656566 41.4141414141414 2.02020202020202 56.4705882352941 42.3529411764706 1.17647058823529
1386 4185.1176194332 4206.54728744939 276 172.541501976285 176.496124031008 168.427419354839 95 40 2 83 49 6 1232 "frenchopen" 1 "mathias bourgue" "andy murray" 42.7766666666667 32.4008415803008 97.8364595831029 98.337425873515 2016 "Clay" 69.3430656934307 29.1970802919708 1.45985401459854 60.1449275362319 35.5072463768116 4.34782608695652
818 2320.62955688623 2349.66783233533 186 170.005952380952 169.581395348837 170.451219512195 67 26 0 57 33 2 1301 "frenchopen" 1 "novak djokovic" "aljaz bedene" 24.45 33.4560327198364 94.9132743102752 96.1009338378458 2016 "Clay" 72.0430107526882 27.9569892473118 0 61.9565217391304 35.8695652173913 2.17391304347826
906 3063.05554761905 3074.40992828685 254 171.04469273743 174.506329113924 168.31 69 49 4 81 47 3 1306 "frenchopen" 1 "alexander zverev" "dominic thiem" 33.92 26.7099056603774 90.3023451538634 90.6370851499662 2016 "Clay" 56.5573770491803 40.1639344262295 3.27868852459016 61.8320610687023 35.8778625954198 2.29007633587786
199 564.994172413793 580.886534482759 59 181.156862745098 189.789473684211 176.03125 15 4 2 28 9 0 1308 "frenchopen" 1 "ernests gulbis" "jo wilfried tsonga" 6.59666666666667 30.166750884285 85.6484344235159 88.0575848129498 2016 "Clay" 71.4285714285714 19.047619047619 9.52380952380952 75.6756756756757 24.3243243243243 0
1278 3626.86848351648 3027.0396043956 184 153.070175438596 144.391304347826 163.177215189873 69 25 2 49 34 4 1311 "frenchopen" 1 "gilles simon" "viktor troicki" 26.3033333333333 48.5869978456469 137.886268540736 115.081977102862 2016 "Clay" 71.875 26.0416666666667 2.08333333333333 56.3218390804598 39.0804597701149 4.59770114942529
646 1875.66585635359 1734.51763333333 182 180.425287356322 182.185567010309 178.207792207792 64 36 2 49 28 2 1312 "frenchopen" 1 "jeremy chardy" "stan wawrinka" 23.8666666666667 27.0670391061453 78.5893515231952 72.6753198324022 2016 "Clay" 62.7450980392157 35.2941176470588 1.96078431372549 62.0253164556962 35.4430379746835 2.53164556962025
798 2308.67236180905 2213.97244897959 200 174.104712041885 180.357142857143 167.516129032258 75 25 0 57 40 2 1314 "frenchopen" 1 "nick kyrgios" "richard gasquet" 26.11 30.5630026809651 88.4210019842606 84.7940424733662 2016 "Clay" 75 25 0 57.5757575757576 40.4040404040404 2.02020202020202
411 1289.31199421965 1152.27384393064 175 182.058441558442 191.3625 172 60 25 5 61 21 2 1316 "frenchopen" 1 "ivo karlovic" "andy murray" 23.2666666666667 17.6647564469914 55.4145556254865 49.5246637792537 2016 "Clay" 66.6666666666667 27.7777777777778 5.55555555555556 72.6190476190476 25 2.38095238095238
